B,trial,sequence,prompt_index,generated_tokens,wall_time_s
16,5,13,77,96,3.9358426119999876
16,5,14,78,96,3.9358426119999876
16,5,15,79,96,3.9358426119999876
16,6,0,80,96,3.96945510799992
16,6,1,81,96,3.96945510799992
16,6,2,82,96,3.96945510799992
16,6,3,83,96,3.96945510799992
16,6,4,84,96,3.96945510799992
16,6,5,85,96,3.96945510799992
16,6,6,86,96,3.96945510799992
16,6,7,87,96,3.96945510799992
16,6,8,88,96,3.96945510799992
16,6,9,89,96,3.96945510799992
16,6,10,90,96,3.96945510799992
16,6,11,91,96,3.96945510799992
16,6,12,92,96,3.96945510799992
16,6,13,93,96,3.96945510799992
16,6,14,94,96,3.96945510799992
16,6,15,95,96,3.96945510799992
16,7,0,96,96,3.8906042349999552
16,7,1,97,96,3.8906042349999552
16,7,2,98,96,3.8906042349999552
16,7,3,99,96,3.8906042349999552
16,7,4,0,87,3.8906042349999552
16,7,5,1,96,3.8906042349999552
16,7,6,2,96,3.8906042349999552
16,7,7,3,96,3.8906042349999552
16,7,8,4,96,3.8906042349999552
16,7,9,5,96,3.8906042349999552
16,7,10,6,96,3.8906042349999552
16,7,11,7,96,3.8906042349999552
16,7,12,8,96,3.8906042349999552
16,7,13,9,96,3.8906042349999552
16,7,14,10,96,3.8906042349999552
16,7,15,11,96,3.8906042349999552
16,8,0,12,96,3.9078582880001704
16,8,1,13,96,3.9078582880001704
16,8,2,14,96,3.9078582880001704
16,8,3,15,96,3.9078582880001704
16,8,4,16,96,3.9078582880001704
16,8,5,17,96,3.9078582880001704
16,8,6,18,96,3.9078582880001704
16,8,7,19,96,3.9078582880001704
16,8,8,20,96,3.9078582880001704
16,8,9,21,96,3.9078582880001704
16,8,10,22,96,3.9078582880001704
16,8,11,23,96,3.9078582880001704
16,8,12,24,96,3.9078582880001704
16,8,13,25,96,3.9078582880001704
16,8,14,26,96,3.9078582880001704
16,8,15,27,96,3.9078582880001704
16,9,0,28,96,3.963010590999829
16,9,1,29,96,3.963010590999829
16,9,2,30,96,3.963010590999829
16,9,3,31,96,3.963010590999829
16,9,4,32,96,3.963010590999829
16,9,5,33,96,3.963010590999829
16,9,6,34,96,3.963010590999829
16,9,7,35,96,3.963010590999829
16,9,8,36,96,3.963010590999829
16,9,9,37,96,3.963010590999829
16,9,10,38,96,3.963010590999829
16,9,11,39,96,3.963010590999829
16,9,12,40,96,3.963010590999829
16,9,13,41,96,3.963010590999829
16,9,14,42,96,3.963010590999829
16,9,15,43,96,3.963010590999829
16,10,0,44,96,3.9155471690000923
16,10,1,45,96,3.9155471690000923
